Altstadt-Lehel;48.139089 11.568522,48.137641 11.577283,48.134774 11.573737,48.134635 11.568189
Maxvorstadt;48.145770 11.558677,48.149890 11.561889,48.148108 11.573654,48.143683 11.569023
